2011-10-12 14:27:39 status unpacked findutils 4.4.2-1ubuntu3
2011-10-12 14:27:39 status unpacked findutils 4.4.2-1ubuntu3
2011-10-12 14:27:39 install gcc-4.6-base <none> 4.6.1-9ubuntu3
2011-10-12 14:27:39 status half-installed gcc-4.6-base 4.6.1-9ubuntu3
2011-10-12 14:27:39 status unpacked gcc-4.6-base 4.6.1-9ubuntu3
2011-10-12 14:27:39 status unpacked gcc-4.6-base 4.6.1-9ubuntu3
2011-10-12 14:27:39 install grep <none> 2.9-1
2011-10-12 14:27:39 status half-installed grep 2.9-1
2011-10-12 14:27:39 status unpacked grep 2.9-1
2011-10-12 14:27:39 status unpacked grep 2.9-1
2011-10-12 14:27:39 install gzip <none> 1.3.12-9ubuntu1.1
2011-10-12 14:27:39 status half-installed gzip 1.3.12-9ubuntu1.1
2011-10-12 14:27:39 status unpacked gzip 1.3.12-9ubuntu1.1
2011-10-12 14:27:39 status unpacked gzip 1.3.12-9ubuntu1.1
2011-10-12 14:27:39 install hostname <none> 3.06ubuntu1
2011-10-12 14:27:39 status half-installed hostname 3.06ubuntu1
2011-10-12 14:27:39 status unpacked hostname 3.06ubuntu1
2011-10-12 14:27:39 status unpacked hostname 3.06ubuntu1
2011-10-12 14:27:39 install ifupdown <none> 0.7~alpha5.1ubuntu5
2011-10-12 14:27:39 status half-installed ifupdown 0.7~alpha5.1ubuntu5
2011-10-12 14:27:39 status unpacked ifupdown 0.7~alpha5.1ubuntu5
2011-10-12 14:27:39 status unpacked ifupdown 0.7~alpha5.1ubuntu5
2011-10-12 14:27:39 install initramfs-tools <none> 0.99ubuntu7
2011-10-12 14:27:39 status half-installed initramfs-tools 0.99ubuntu7
2011-10-12 14:27:39 status unpacked initramfs-tools 0.99ubuntu7
2011-10-12 14:27:39 status unpacked initramfs-tools 0.99ubuntu7
2011-10-12 14:27:39 install initramfs-tools-bin <none> 0.99ubuntu7
2011-10-12 14:27:39 status half-installed initramfs-tools-bin 0.99ubuntu7
2011-10-12 14:27:39 status unpacked initramfs-tools-bin 0.99ubuntu7
2011-10-12 14:27:39 status unpacked initramfs-tools-bin 0.99ubuntu7
2011-10-12 14:27:39 install initscripts <none> 2.88dsf-13.10ubuntu4
2011-10-12 14:27:39 status half-installed initscripts 2.88dsf-13.10ubuntu4
2011-10-12 14:27:39 status unpacked initscripts 2.88dsf-13.10ubuntu4
2011-10-12 14:27:39 status unpacked initscripts 2.88dsf-13.10ubuntu4
2011-10-12 14:27:39 install insserv <none> 1.14.0-2.1
2011-10-12 14:27:39 status half-installed insserv 1.14.0-2.1
2011-10-12 14:27:39 status unpacked insserv 1.14.0-2.1
2011-10-12 14:27:39 status unpacked insserv 1.14.0-2.1
2011-10-12 14:27:39 install iproute <none> 20110315-1build1
2011-10-12 14:27:39 status half-installed iproute 20110315-1build1
2011-10-12 14:27:39 status unpacked iproute 20110315-1build1
2011-10-12 14:27:39 status unpacked iproute 20110315-1build1
2011-10-12 14:27:39 install klibc-utils <none> 1.5.22-1ubuntu2
2011-10-12 14:27:39 status half-installed klibc-utils 1.5.22-1ubuntu2
2011-10-12 14:27:39 status unpacked klibc-utils 1.5.22-1ubuntu2
2011-10-12 14:27:39 status unpacked klibc-utils 1.5.22-1ubuntu2
2011-10-12 14:27:39 install libacl1 <none> 2.2.51-3
2011-10-12 14:27:39 status half-installed libacl1 2.2.51-3
2011-10-12 14:27:39 status unpacked libacl1 2.2.51-3
2011-10-12 14:27:39 status unpacked libacl1 2.2.51-3
2011-10-12 14:27:39 install libattr1 <none> 1:2.4.46-3
2011-10-12 14:27:39 status half-installed libattr1 1:2.4.46-3
2011-10-12 14:27:39 status unpacked libattr1 1:2.4.46-3
2011-10-12 14:27:39 status unpacked libattr1 1:2.4.46-3
2011-10-12 14:27:39 install libblkid1 <none> 2.19.1-2ubuntu3
2011-10-12 14:27:39 status half-installed libblkid1 2.19.1-2ubuntu3
2011-10-12 14:27:39 status unpacked libblkid1 2.19.1-2ubuntu3
2011-10-12 14:27:39 status unpacked libblkid1 2.19.1-2ubuntu3
2011-10-12 14:27:39 install libbz2-1.0 <none> 1.0.5-6ubuntu1
2011-10-12 14:27:39 status half-installed libbz2-1.0 1.0.5-6ubuntu1
2011-10-12 14:27:39 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2011-10-12 14:27:39 status unpacked libbz2-1.0 1.0.5-6ubuntu1
2011-10-12 14:27:39 install libc-bin <none> 2.13-20ubuntu5
2011-10-12 14:27:39 status half-installed libc-bin 2.13-20ubuntu5
2011-10-12 14:27:39 status unpacked libc-bin 2.13-20ubuntu5
2011-10-12 14:27:39 status unpacked libc-bin 2.13-20ubuntu5
2011-10-12 14:27:39 upgrade libc6 2.13-20ubuntu5 2.13-20ubuntu5
2011-10-12 14:27:39 status half-configured libc6 2.13-20ubuntu5
2011-10-12 14:27:39 status unpacked libc6 2.13-20ubuntu5
2011-10-12 14:27:39 status half-installed libc6 2.13-20ubuntu5
2011-10-12 14:27:40 status half-installed libc6 2.13-20ubuntu5
2011-10-12 14:27:40 status unpacked libc6 2.13-20ubuntu5
2011-10-12 14:27:40 status unpacked libc6 2.13-20ubuntu5
2011-10-12 14:27:40 install libcomerr2 <none> 1.41.14-1ubuntu3
2011-10-12 14:27:40 status half-installed libcomerr2 1.41.14-1ubuntu3
2011-10-12 14:27:40 status unpacked libcomerr2 1.41.14-1ubuntu3
2011-10-12 14:27:40 status unpacked libcomerr2 1.41.14-1ubuntu3
2011-10-12 14:27:40 install libdb5.1 <none> 5.1.25-11
2011-10-12 14:27:40 status half-installed libdb5.1 5.1.25-11
2011-10-12 14:27:40 status unpacked libdb5.1 5.1.25-11
2011-10-12 14:27:40 status unpacked libdb5.1 5.1.25-11
2011-10-12 14:27:40 install libdbus-1-3 <none> 1.4.14-1ubuntu1
2011-10-12 14:27:40 status half-installed libdbus-1-3 1.4.14-1ubuntu1
2011-10-12 14:27:40 status unpacked libdbus-1-3 1.4.14-1ubuntu1
2011-10-12 14:27:40 status unpacked libdbus-1-3 1.4.14-1ubuntu1
2011-10-12 14:27:40 install libdrm-intel1 <none> 2.4.26-1ubuntu1
2011-10-12 14:27:40 status half-installed libdrm-intel1 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm-intel1 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm-intel1 2.4.26-1ubuntu1
2011-10-12 14:27:40 install libdrm-nouveau1a <none> 2.4.26-1ubuntu1
2011-10-12 14:27:40 status half-installed libdrm-nouveau1a 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm-nouveau1a 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm-nouveau1a 2.4.26-1ubuntu1
2011-10-12 14:27:40 install libdrm-radeon1 <none> 2.4.26-1ubuntu1
2011-10-12 14:27:40 status half-installed libdrm-radeon1 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm-radeon1 2.4.26-1ubuntu1
2011-10-12 14:27:40 status unpacked libdrm-radeon1 2.4.26-1ubuntu1
2011-10-12 14:27:40 install libdrm2 <none> 2.4.26-1ubuntu1
